talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
lang næse,2,1,concrete misinterpretation,næse som er mere fremtrædende end gennemsnittet,skuffelse; følelse af at være snydt,DISCREPANCY,1,C,0,0,1,0
puste til ilden,0,2,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op","gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",DISCREPANCY,2,"A,C",1,0,1,0
det er der ingen ben i,0,3,random definition,koste mange penge; være dyr,det er nemt at udføre eller forstå,DISCREPANCY,0,,0,0,0,0
hælde vand ud af ørerne,0,2,concrete misinterpretation,lade vand strømme ud af et badedyrs ører,"sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget",DISCREPANCY,0,,0,0,0,0
vride halsen om på nogen,0,3,concrete misinterpretation,dræbe ved kvælning,få nogen til at makke ret ved at presse eller true,DISCREPANCY,2,"A,D",1,0,0,1
være på egen boldgade,0,2,concrete misinterpretation,dyrke boldspil på den bane hvor et sportshold sædvanligvis spiller kamp,være på egen hånd; være uden tilsyn,DISCREPANCY,0,,0,0,0,0
"lev stærkt, dø ung",0,1,concrete misinterpretation,"være stærk mens man er i live, men dø i en ung alder","bruges for at udtrykke den opfattelse at det er bedre at tage chancer, leve livet fuldt ud og give efter for sine lyster end søge tryghed og faste rammer, også selvom man derved sætter livet på spil og risikerer at dø i en ung alder",DISCREPANCY,2,"A,B",1,1,0,0
stryge med hårene,2,3,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser",prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY,2,"C,D",0,0,1,1
svæve over vandene,0,1,random definition,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY,0,,0,0,0,0
spille sine kort godt,1,2,abstract misinterpretation,føre en fornuftig og langsigtet økonomisk politik,udnytte sine muligheder; handle klogt,DISCREPANCY,2,"B,C",0,1,1,0
ikke være mange sure sild værd,0,1,concrete misinterpretation,have en værdi der svarer til et lille antal sild,være udmattet eller nedtrykt,DISCREPANCY,0,,0,0,0,0
de bonede gulve,1,2,concrete misinterpretation,gulve som er behandlet med bonevoks eller lignende,"de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)",DISCREPANCY,2,"B,C",0,1,1,0
være tynd i papirerne,0,2,abstract misinterpretation,være uden interessant og vigtigt indhold - om tekst,"være usikker, uvidende, dårligt forberedt eller lignende",DISCREPANCY,2,"A,C",1,0,1,0
spildte Guds ord på Balle-Lars,0,2,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,DISCREPANCY,2,"A,C",1,0,1,0
mester for noget,2,3,concrete misinterpretation,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY,1,C,0,0,1,0
ligne hinanden som to dråber vand,2,3,concrete misinterpretation,være ens på samme måde som to vanddråber er ens,ligne hinanden fuldstændig,DISCREPANCY,2,"C,D",0,0,1,1
det fagreste træ i skoven,0,1,concrete misinterpretation,det største og mest levedygtige træ i skoven,det som er vigtigst og betyder mest,DISCREPANCY,0,,0,0,0,0
lakrids mellem tæerne,2,3,concrete misinterpretation,stykke lakrids placeret mellem to tæer,snavs mellem tæerne; snavsede fødder,DISCREPANCY,1,C,0,0,1,0
arbejde så blodet springer fra neglene,1,2,concrete misinterpretation,arbejde så hårdt at fingrene bløder,(arbejde) hårdt og intensivt,DISCREPANCY,2,"B,C",0,1,1,0
være i lommen på,0,3,concrete misinterpretation,ligge i nogens lomme,være helt afhængig af,DISCREPANCY,0,,0,0,0,0
hele dynen,1,3,concrete misinterpretation,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv.",alt det som er relevant i en bestemt sammenhæng,DISCREPANCY,2,"B,D",0,1,0,1
puste til gløderne,0,2,concrete misinterpretation,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY,3,"A,C,D",1,0,1,1
have mange jern i ilden,1,2,concrete misinterpretation,have mange forskellige jern i sin esse,være beskæftiget med mange ting samtidig,DISCREPANCY,2,"B,C",0,1,1,0
de forhåndenværende søms princip,0,1,random definition,en god begyndelse på noget forøger muligheden for en vellykket fortsættelse og afslutning,fremgangsmåde hvor man nøjes med de begrænsede midler der umiddelbart er til rådighed,DISCREPANCY,2,"A,B",1,1,0,0
skulle have skolepengene tilbage,2,1,concrete misinterpretation,være berettiget til erstatning af et undervisningsgebyr,være dum eller uvidende om et bestemt forhold,DISCREPANCY,1,C,0,0,1,0
gå hjem og vug,0,1,abstract misinterpretation,bruges til at overtale en (små)syg person til at gå hjem i seng,"forsvind; gå hjem, for der er ikke brug for dig",DISCREPANCY,2,"A,B",1,1,0,0
krydse nogens vej,0,3,random definition,overhovedet ikke til nytte; helt overflødigt eller forgæves,mødes med nogen undervejs,DISCREPANCY,0,,0,0,0,0
være i stødet,0,2,random definition,"anstrenge sig for at formulere noget, fx fordi det er svært at udtale eller fordi man vil undvige et pågående spørgsmål",være oplagt (til noget),DISCREPANCY,0,,0,0,0,0
der er synk i nogen,0,2,concrete misinterpretation,nogen er i stand til at synke noget,"nogen kan drikke meget, især alkohol",DISCREPANCY,0,,0,0,0,0
det ene ord tager det andet,0,1,random definition,"hvis man vil more sig (om natten), må man tage konsekvensen og opføre sig ansvarligt (næste dag)",bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY,0,,0,0,0,0
nissen flytter med,1,0,concrete misinterpretation,"når man flytter, bliver en (jule)nisse taget med",selvskabte problemer forfølger én hvis man blot flygter fra dem i stedet for at finde deres egentlige årsag,DISCREPANCY,1,B,0,1,0,0
være ved sine sansers fulde brug,0,2,concrete misinterpretation,have kontrol med og udbytte af alle fem sanser,være i stand til at tænke klart; være tilregnelig,DISCREPANCY,2,"A,C",1,0,1,0
én fugl i hånden er bedre end ti på taget,0,3,abstract misinterpretation,det er mere værd at have én partner man stoler på end mange løse forhold,"de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få",DISCREPANCY,3,"A,C,D",1,0,1,1
med arme og ben,2,3,concrete misinterpretation,hvor man gør brug af både sine arme og ben,af al magt; uhæmmet,DISCREPANCY,2,"C,D",0,0,1,1
have alle trumfer på hånden,2,3,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil,have meget gode chancer; være i en meget fordelagtig situation,DISCREPANCY,2,"C,D",0,0,1,1
køre med klatten,0,1,abstract misinterpretation,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY,1,A,1,0,0,0
behandle nogen som et råddent æg,3,1,concrete misinterpretation,kun nødigt omgås nogen fordi man finder dem frastødende,omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig,DISCREPANCY,1,D,0,0,0,1
være i ilden,1,3,abstract misinterpretation,være i fuld gang med at skabe eller udvikle noget nyt,være på en hård prøve; være i centrum for nærgående opmærksomhed,DISCREPANCY,2,"B,D",0,1,0,1
have brød i ovnen,0,2,abstract misinterpretation,forberede madret til et måltid den efterfølgende dag,være gravid; vente barn,DISCREPANCY,0,,0,0,0,0
i den kolde sne,0,2,abstract misinterpretation,på et tidspunkt forholdsvis tidligt om morgenen,i en tilstand af udelukkelse og forladthed,DISCREPANCY,0,,0,0,0,0
man kan ikke lære en gammel hund nye kunster,0,2,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder,en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt,DISCREPANCY,3,"A,C,D",1,0,1,1
ikke kunne huske fra næse til mund,0,2,random definition,"stille sig tilfreds med de resultater man har opnået, og opgive videre stræben (indtil videre)",have en meget dårlig hukommelse,DISCREPANCY,0,,0,0,0,0
en streg i luften,0,1,concrete misinterpretation,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY,1,A,1,0,0,0
komme på slagtebænken,0,3,concrete misinterpretation,"blive bragt til et slagteri -- om kvæg, svin eller andre slagtedyr","blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende",DISCREPANCY,2,"A,D",1,0,0,1
være solgt til stanglakrids,0,1,random definition,lade nogle ubehagelige omstændigheder gå ud over andre; overlade ansvaret for en ubehagelig afgørelse til en anden,være ekstremt fascineret af eller forelsket i,DISCREPANCY,0,,0,0,0,0
rive nogen noget i næsen,0,3,concrete misinterpretation,gnide noget ind i nogens næsebor,lade nogen høre for noget; kritisere nogen for noget,DISCREPANCY,0,,0,0,0,0
"når solen går ned i en sæk, står den op i en bæk",0,1,abstract misinterpretation,"hvis man går vred i seng, er man trist næste morgen","når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY,0,,0,0,0,0
munden står ikke stille på nogen,1,3,concrete misinterpretation,nogens mund er altid i bevægelse,nogen snakker hele tiden,DISCREPANCY,2,"B,D",0,1,0,1
gøre rent bord,1,2,concrete misinterpretation,rydde op så bordpladen er fri og ren,bringe orden i tingene så man kan begynde på en frisk,DISCREPANCY,2,"B,C",0,1,1,0
være vaccineret med en grammofonstift,0,2,concrete misinterpretation,være blevet stukket med en grammofonstift,være tilbøjelig til at snakke for meget,DISCREPANCY,0,,0,0,0,0
gå ud som et lys,0,2,concrete misinterpretation,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY,1,A,1,0,0,0
tabe både næse og mund,0,2,random definition,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",blive meget forbavset eller benovet over noget,DISCREPANCY,0,,0,0,0,0
ligge lige til højrebenet,1,3,concrete misinterpretation,ligge godt til at sparke med højre ben -- om bold,være en indlysende og nærliggende mulighed,DISCREPANCY,3,"B,C,D",0,1,1,1
tage pungen frem,0,2,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY,2,"A,C",1,0,1,0
"villa, Volvo og vovhund",0,1,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr,"bruges som symbol på det etablerede og trygge, lidt kedelige liv med fast arbejde og statussymboler",DISCREPANCY,2,"A,B",1,1,0,0
kæden er hoppet af,2,3,concrete misinterpretation,"en kæde der forbinder to tandhjul, er sprunget af det ene eller begge tandhjul","et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",DISCREPANCY,2,"C,D",0,0,1,1
døden skal have en årsag,0,2,random definition,glæde sig over en økonomisk succes,bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget,DISCREPANCY,0,,0,0,0,0
bide sig fast,0,1,abstract misinterpretation,kæmpe ihærdigt med noget der er svært,blive en fast bestanddel af noget; fastholde en erobret position,DISCREPANCY,3,"A,B,D",1,1,0,1
slå to fluer med ét smæk,0,2,concrete misinterpretation,"ramme to fluer i én, samlet bevægelse med hånden, fx med en fluesmækker",opnå to mål eller fordele med en enkelt handling,DISCREPANCY,2,"A,C",1,0,1,0
vride bananen,1,2,abstract misinterpretation,stimulere en penis med hånden,tisse,DISCREPANCY,1,B,0,1,0,0
ikke lægge fingrene imellem,1,3,abstract misinterpretation,ikke blande sig i andres konflikt,"ikke være skånsom eller tilbageholdende, men direkte i ord eller handling",DISCREPANCY,2,"B,D",0,1,0,1
åbne sit hjerte,0,1,abstract misinterpretation,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person,betro sig,DISCREPANCY,1,A,1,0,0,0
helt ude i skoven,1,2,abstract misinterpretation,i et øde område langt fra byer; i den vilde natur,"uden fornuft, mening eller forbindelse med virkeligheden; helt gal",DISCREPANCY,2,"B,C",0,1,1,0
