talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
lang næse,2,1,concrete misinterpretation,næse som er mere fremtrædende end gennemsnittet,skuffelse; følelse af at være snydt,DISCREPANCY,1,C,0,0,1,0
puste til ilden,0,2,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op","gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",DISCREPANCY,2,"A,C",1,0,1,0
lokummet brænder,1,2,concrete misinterpretation,der er ild i toilettet,der er (udsigt til) problemer,DISCREPANCY,2,"B,C",0,1,1,0
det er der ingen ben i,1,3,abstract misinterpretation,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå,DISCREPANCY,1,B,0,1,0,0
ikke have mange brikker at flytte rundt med,0,2,abstract misinterpretation,have en stram økonomi,ikke være særlig begavet,DISCREPANCY,1,A,1,0,0,0
vride halsen om på nogen,0,3,concrete misinterpretation,dræbe ved kvælning,få nogen til at makke ret ved at presse eller true,DISCREPANCY,2,"A,D",1,0,0,1
stryge med hårene,2,3,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser",prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY,2,"C,D",0,0,1,1
svæve over vandene,0,1,random definition,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY,0,,0,0,0,0
under én hat,0,3,concrete misinterpretation,placeret under en enkelt hat,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY,2,"A,D",1,0,0,1
ikke være mange sure sild værd,3,1,abstract misinterpretation,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY,1,D,0,0,0,1
de bonede gulve,1,2,concrete misinterpretation,gulve som er behandlet med bonevoks eller lignende,"de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)",DISCREPANCY,2,"B,C",0,1,1,0
spildte Guds ord på Balle-Lars,0,2,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,DISCREPANCY,2,"A,C",1,0,1,0
mester for noget,2,3,concrete misinterpretation,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY,2,"C,D",0,0,1,1
holde på hat og briller,0,3,random definition,være på sporet af en sags rette sammenhæng; være inde på noget af det rigtige,passe på fordi noget (voldsomt) begynder eller finder sted,DISCREPANCY,2,"A,D",1,0,0,1
ligne hinanden som to dråber vand,2,3,concrete misinterpretation,være ens på samme måde som to vanddråber er ens,ligne hinanden fuldstændig,DISCREPANCY,2,"C,D",0,0,1,1
det fagreste træ i skoven,0,1,concrete misinterpretation,det største og mest levedygtige træ i skoven,det som er vigtigst og betyder mest,DISCREPANCY,0,,0,0,0,0
lakrids mellem tæerne,0,3,random definition,ikke falde i en persons smag,snavs mellem tæerne; snavsede fødder,DISCREPANCY,0,,0,0,0,0
arbejde så blodet springer fra neglene,1,2,concrete misinterpretation,arbejde så hårdt at fingrene bløder,(arbejde) hårdt og intensivt,DISCREPANCY,2,"B,C",0,1,1,0
være i lommen på,0,3,concrete misinterpretation,ligge i nogens lomme,være helt afhængig af,DISCREPANCY,0,,0,0,0,0
hele dynen,1,3,concrete misinterpretation,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv.",alt det som er relevant i en bestemt sammenhæng,DISCREPANCY,1,B,0,1,0,0
puste til gløderne,0,2,concrete misinterpretation,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY,2,"A,C",1,0,1,0
skære ud i pap,2,1,random definition,man kan ikke på samme tid gøre to ting der er indbyrdes forskellige eller uforenelige,forklare eller meddele på en meget grundig og letforståelig måde,DISCREPANCY,1,C,0,0,1,0
der er synk i nogen,3,2,random definition,give en omgang klø eller skældud,"nogen kan drikke meget, især alkohol",DISCREPANCY,1,D,0,0,0,1
ikke være nogens kop te,0,3,concrete misinterpretation,tilhøre en anden -- om en kop te,ikke være noget eller nogen som nogen bryder sig om eller er interesseret i,DISCREPANCY,0,,0,0,0,0
én fugl i hånden er bedre end ti på taget,2,3,concrete misinterpretation,det er bedre at have en fugl i sin hånd end at have ti fugle siddende på sit tag,"de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få",DISCREPANCY,2,"C,D",0,0,1,1
have alle trumfer på hånden,2,3,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil,have meget gode chancer; være i en meget fordelagtig situation,DISCREPANCY,2,"C,D",0,0,1,1
med lodder og trisser,0,3,concrete misinterpretation,holdt på plads vha. lodder og trisser -- om fortøjning eller andet tovværk,"med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi",DISCREPANCY,2,"A,D",1,0,0,1
belåne til op over skorstenen,0,2,abstract misinterpretation,låne mange penge ud,belåne en bygning eller anden fast ejendom helt op til eller over dens værdi,DISCREPANCY,2,"A,C",1,0,1,0
køre med klatten,0,1,abstract misinterpretation,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY,2,"A,B",1,1,0,0
behandle nogen som et råddent æg,3,1,concrete misinterpretation,kun nødigt omgås nogen fordi man finder dem frastødende,omgås en person på en meget diplomatisk og forsigtig måde fordi vedkommende er meget nærtagende og besværlig,DISCREPANCY,1,D,0,0,0,1
man kan ikke lære en gammel hund nye kunster,0,2,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder,en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt,DISCREPANCY,3,"A,C,D",1,0,1,1
en streg i luften,0,1,concrete misinterpretation,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY,0,,0,0,0,0
komme på slagtebænken,0,3,concrete misinterpretation,"blive bragt til et slagteri -- om kvæg, svin eller andre slagtedyr","blive ødelagt, nedlagt, opsplittet, hængt ud i pressen eller lignende",DISCREPANCY,2,"A,D",1,0,0,1
"når solen går ned i en sæk, står den op i en bæk",0,1,abstract misinterpretation,"hvis man går vred i seng, er man trist næste morgen","når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY,0,,0,0,0,0
munden står ikke stille på nogen,1,3,concrete misinterpretation,nogens mund er altid i bevægelse,nogen snakker hele tiden,DISCREPANCY,2,"B,D",0,1,0,1
gå ud som et lys,0,2,concrete misinterpretation,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY,2,"A,C",1,0,1,0
tabe både næse og mund,0,2,random definition,"vise en ukendt, ofte ubehagelig eller problematisk, men sand side af noget eller nogen, evt. sig selv",blive meget forbavset eller benovet over noget,DISCREPANCY,0,,0,0,0,0
ligge lige til højrebenet,1,3,concrete misinterpretation,ligge godt til at sparke med højre ben -- om bold,være en indlysende og nærliggende mulighed,DISCREPANCY,2,"B,D",0,1,0,1
tage pungen frem,0,2,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY,2,"A,C",1,0,1,0
"villa, Volvo og vovhund",0,1,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr,"bruges som symbol på det etablerede og trygge, lidt kedelige liv med fast arbejde og statussymboler",DISCREPANCY,2,"A,B",1,1,0,0
kæden er hoppet af,2,3,concrete misinterpretation,"en kæde der forbinder to tandhjul, er sprunget af det ene eller begge tandhjul","et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",DISCREPANCY,2,"C,D",0,0,1,1
der ryger en finke af panden,0,1,random definition,dø,"nogen kommer til at sige eller gøre noget dumt, især af tankeløshed",DISCREPANCY,1,A,1,0,0,0
få enden på komedie,0,1,abstract misinterpretation,udbryde voldsom latter; grine højlydt,få en endefuld; få prygl,DISCREPANCY,0,,0,0,0,0
bide sig fast,0,1,abstract misinterpretation,kæmpe ihærdigt med noget der er svært,blive en fast bestanddel af noget; fastholde en erobret position,DISCREPANCY,2,"A,B",1,1,0,0
slå to fluer med ét smæk,0,2,concrete misinterpretation,"ramme to fluer i én, samlet bevægelse med hånden, fx med en fluesmækker",opnå to mål eller fordele med en enkelt handling,DISCREPANCY,2,"A,C",1,0,1,0
stå malet i ansigtet på nogen,2,3,concrete misinterpretation,være skrevet i panden eller kinderne på nogen,fremgå klart af nogens ansigtsudtryk,DISCREPANCY,2,"C,D",0,0,1,1
vride bananen,1,2,abstract misinterpretation,stimulere en penis med hånden,tisse,DISCREPANCY,1,B,0,1,0,0
åbne sit hjerte,0,1,abstract misinterpretation,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person,betro sig,DISCREPANCY,2,"A,B",1,1,0,0
helt ude i skoven,1,2,abstract misinterpretation,i et øde område langt fra byer; i den vilde natur,"uden fornuft, mening eller forbindelse med virkeligheden; helt gal",DISCREPANCY,2,"B,C",0,1,1,0
klæder skaber folk,0,2,concrete misinterpretation,tøj er med til at forme en persons identitet,man vurderer folk (bl.a.) ud fra deres påklædning,DISCREPANCY,2,"A,C",1,0,1,0
køre kanonerne i stilling,0,3,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret,gøre klar til en aktion eller vanskelig forhandling for at fremme egne interesser eller angribe andres,DISCREPANCY,2,"A,D",1,0,0,1
der må være en blonde,0,2,random definition,sørge for at fastholde nogens interesse eller indsats for noget,der er grænser for hvad man kan tillade sig,DISCREPANCY,0,,0,0,0,0
de ti bud,0,3,concrete misinterpretation,de tilladte ti bud ved en auktion,"samling påbud, regler, forslag, løfter, ideer eller lignende med tilsigtet gennemslagskraft som om de kom fra en højere magt",DISCREPANCY,0,,0,0,0,0
være tredje hjul på vognen,2,3,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre","være overflødig eller generende, fx i forbindelse med et kærlighedsforhold",DISCREPANCY,2,"C,D",0,0,1,1
stikke piben ind,2,1,abstract misinterpretation,have samleje (om mand),blive mere forsigtig og tilbageholdende; (begynde at) holde lav profil,DISCREPANCY,1,C,0,0,1,0
ikke tro nogen over en dørtærskel,1,2,abstract misinterpretation,ikke ønske at nogen træder ind i ens hjem,overhovedet ikke tro på hvad nogen siger,DISCREPANCY,2,"B,D",0,1,0,1
målet helliger midlet,1,3,concrete misinterpretation,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY,2,"B,D",0,1,0,1
være helt ude i tovene,0,3,abstract misinterpretation,være fysisk udmattet (pga. hårdt arbejde); være udtømt for kræfter,være i en meget vanskelig situation som påvirker én psykisk,DISCREPANCY,1,A,1,0,0,0
falde på et tørt sted,3,2,random definition,vedblivende og trættende behandle et velkendt og udtømt emne,være meget tiltrængt og velkommen,DISCREPANCY,1,D,0,0,0,1
der gror ikke mos på en rullesten,0,1,concrete misinterpretation,"hvis en sten er i bevægelse, vil der ikke vokse mos på den","personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)",DISCREPANCY,2,"A,B",1,1,0,0
ligeud ad landevejen,2,3,concrete misinterpretation,kørselsretning uden sving og andre afvigelser fra ligeudkørsel,uden omsvøb; ukompliceret og ligetil,DISCREPANCY,2,"C,D",0,0,1,1
der går inflation i noget,0,3,concrete misinterpretation,priserne stiger på en specifik vare eller varetype,noget forringes eller mister prestige fordi det bliver lettere tilgængeligt eller mere udbredt,DISCREPANCY,2,"A,D",1,0,0,1
nye koste fejer bedst,2,0,concrete misinterpretation,en ny kost fejer bedre end en gammel og slidt kost,nyt er altid bedre end gammelt blot fordi det er nyt,DISCREPANCY,1,C,0,0,1,0
lyse i kuld og køn,2,0,abstract misinterpretation,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY,1,C,0,0,1,0
