talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition
tale med store bogstaver,2,3,tale nedskrevet med store bogstaver,udtale sin kritiske mening højt og bestemt; skælde ud
puste til ilden,0,2,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op","gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger"
måtte sige farvel til noget,1,0,være nødsaget til at sige farvel til noget,"erkende at have lidt et (økonomisk) tab, mistet en mulighed eller lignende"
det er der ingen ben i,1,3,det er ikke økonomisk forsvarligt; det er ikke gangbart i virkeligheden,det er nemt at udføre eller forstå
ramme muren,1,0,færdiggøre murerarbejdet i et husbyggeri,blive drænet for kræfter med en mærkbar nedgang i fysisk præstation til følge
ikke have mange brikker at flytte rundt med,1,2,skuffelse; følelse af at være snydt,ikke være særlig begavet
hælde vand ud af ørerne,1,2,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført","sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget"
vride halsen om på nogen,1,3,tvinge en beslutning igennem på trods af andres indsigelser,få nogen til at makke ret ved at presse eller true
være på egen boldgade,1,2,beherske sine følelser,være på egen hånd; være uden tilsyn
male byen rød,1,0,"sige noget uden særlig meget indhold, fx for at vinde tid eller undskylde noget",drikke og more sig uden for sit eget hjem
stryge med hårene,0,3,være modvillig eller genstridig; (prøve at) forhindre noget,prøve at behage; optræde føjeligt og eftergivende
give en gang lak,1,2,rose og give komplimenter,give en omgang klø eller skældud
under én hat,1,3,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution"
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt
de bonede gulve,1,2,gulve som er behandlet med bonevoks eller lignende,"de finere kredse, etablissementet; inderkredsen (i en politisk magtstruktur)"
få beskidte hænder,2,0,være opfyldt af en følelse af skam,udføre manuelt arbejde; arbejde hårdt eller flittigt
give en god dag i noget,1,0,fornærme eller på anden vis optræde respektløst eller stødende,være ligeglad med noget; ikke bekymre sig om noget
være tynd i papirerne,0,2,være uden interessant og vigtigt indhold - om tekst,"være usikker, uvidende, dårligt forberedt eller lignende"
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk"
langt hen ad vejen,1,3,"skjule, hemmeligholde; ignorere, fortrænge",for størstedelens vedkommende; næsten helt
gå med halm i træskoene,1,0,gå i træsko der har halm i bunden,"have et livssyn eller en tankegang der traditionelt forbindes med tidligere tiders enkle landliv, uden interesse for moderne udvikling og levevis"
holde på hat og briller,1,3,holde fast på sin hat og sine briller,passe på fordi noget (voldsomt) begynder eller finder sted
andre boller på suppen,1,3,bruges for at udtrykke at noget ikke smager en,noget der er nyt og helt forskelligt fra det man kender til i den pågældende sammenhæng
ligne hinanden som to dråber vand,1,3,fastsætte en pris på noget; præcisere et beløb,ligne hinanden fuldstændig
lavthængende frugter,1,2,"personer som fra livets begyndelse har haft dårlige vilkår, og som har oplevet voldsom modgang","mål eller resultater der er lette og hurtige at nå, og som ikke kræver den store indsats"
der gror mos på nogen el. noget,1,0,et lag af mos gror frem på nogen eller noget,nogen/noget ældes (og glemmes) med tiden
lakrids mellem tæerne,1,3,snavs på steder hvor der sjældent bliver gjort rent,snavs mellem tæerne; snavsede fødder
pakke ind i vat,2,0,beskytte noget mod fx slag ved at pakke det ind i vat,overbeskytte; forskåne for ubehagelige oplevelser
en dans på roser,1,0,en dans der danses på et underlag af afskårne roser,"en let og sorgløs tilværelse, aktivitet, opgave eller lignende"
grus i maskineriet,1,2,fejl der nemt kunne være undgået,"modgang, problemer, forhindringer eller lignende"
hele dynen,1,3,"en dyne i sin helhed, inkl. dun eller andet fyld, betræk mv.",alt det som er relevant i en bestemt sammenhæng
næsten ikke kunne få armene ned,3,2,have svært ved at sænke hænderne til under skulderhøjde,være overordentlig glad pga. stor succes
