talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
puste til ilden,0,2,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op","gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",DISCREPANCY,2,"A,C",1,0,1,0
skinnet bedrager,0,1,abstract misinterpretation,blot fordi solen er fremme betyder det ikke at det er varmt,"det ydre giver ikke nødvendigvis udtryk for de indre, sande kvaliteter hos noget eller nogen, eller for hvordan noget i virkeligheden forholder sig",DISCREPANCY,2,"A,B",1,1,0,0
lokummet brænder,0,2,abstract misinterpretation,der er ikke styr på basale fornødenheder,der er (udsigt til) problemer,DISCREPANCY,2,"A,C",1,0,1,0
ikke have mange brikker at flytte rundt med,0,2,abstract misinterpretation,have en stram økonomi,ikke være særlig begavet,DISCREPANCY,2,"A,C",1,0,1,0
vride halsen om på nogen,0,3,concrete misinterpretation,dræbe ved kvælning,få nogen til at makke ret ved at presse eller true,DISCREPANCY,2,"A,D",1,0,0,1
være på egen boldgade,0,2,concrete misinterpretation,dyrke boldspil på den bane hvor et sportshold sædvanligvis spiller kamp,være på egen hånd; være uden tilsyn,DISCREPANCY,0,,0,0,0,0
"lev stærkt, dø ung",0,1,concrete misinterpretation,"være stærk mens man er i live, men dø i en ung alder","bruges for at udtrykke den opfattelse at det er bedre at tage chancer, leve livet fuldt ud og give efter for sine lyster end søge tryghed og faste rammer, også selvom man derved sætter livet på spil og risikerer at dø i en ung alder",DISCREPANCY,3,"A,B,D",1,1,0,1
stryge med hårene,2,3,concrete misinterpretation,"ae nogen, fx et barn, på hovedet i den retning håret vokser",prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY,2,"C,D",0,0,1,1
den rygende pistol,1,2,concrete misinterpretation,en pistol der netop er affyret,det synlige eller på anden måde uigendrivelige bevis der fælder forbryderen i en kriminalsag,DISCREPANCY,2,"B,C",0,1,1,0
under én hat,1,3,abstract misinterpretation,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY,2,"B,D",0,1,0,1
ikke være mange sure sild værd,0,1,concrete misinterpretation,have en værdi der svarer til et lille antal sild,være udmattet eller nedtrykt,DISCREPANCY,2,"A,D",1,0,0,1
være tynd i papirerne,0,2,abstract misinterpretation,være uden interessant og vigtigt indhold - om tekst,"være usikker, uvidende, dårligt forberedt eller lignende",DISCREPANCY,2,"A,C",1,0,1,0
spildte Guds ord på Balle-Lars,0,2,concrete misinterpretation,Balle-Lars forstår ikke det kristne budskab,forgæves forsøg på at overbevise eller belære en person der synes ganske uimodtagelig for fornuft,DISCREPANCY,2,"A,C",1,0,1,0
hæve barren,1,2,concrete misinterpretation,hæve en barre -- fx i konkurrencer,øge ambitionerne eller kravene; hæve standarden,DISCREPANCY,2,"B,C",0,1,1,0
mester for noget,2,3,concrete misinterpretation,dygtig udøver af et håndværk,"person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY,2,"C,D",0,0,1,1
give med den ene hånd og tage med den anden,1,3,concrete misinterpretation,række nogen noget med den ene hånd og derefter tage det igen med den anden,"yde noget til nogen, men derefter fratage vedkommende dét eller noget andet",DISCREPANCY,2,"B,D",0,1,0,1
ligne hinanden som to dråber vand,2,3,concrete misinterpretation,være ens på samme måde som to vanddråber er ens,ligne hinanden fuldstændig,DISCREPANCY,2,"C,D",0,0,1,1
det fagreste træ i skoven,0,1,concrete misinterpretation,det største og mest levedygtige træ i skoven,det som er vigtigst og betyder mest,DISCREPANCY,0,,0,0,0,0
lakrids mellem tæerne,1,3,abstract misinterpretation,snavs på steder hvor der sjældent bliver gjort rent,snavs mellem tæerne; snavsede fødder,DISCREPANCY,2,"B,D",0,1,0,1
arbejde så blodet springer fra neglene,1,2,concrete misinterpretation,arbejde så hårdt at fingrene bløder,(arbejde) hårdt og intensivt,DISCREPANCY,2,"B,C",0,1,1,0
grus i maskineriet,0,2,concrete misinterpretation,"grus, jord, sand ellerlign. i et maskineri","modgang, problemer, forhindringer eller lignende",DISCREPANCY,3,"A,B,C",1,1,1,0
puste til gløderne,0,2,concrete misinterpretation,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY,3,"A,C,D",1,0,1,1
der er synk i nogen,1,2,abstract misinterpretation,nogen er meget energisk eller handlekraftig,"nogen kan drikke meget, især alkohol",DISCREPANCY,3,"B,C,D",0,1,1,1
én fugl i hånden er bedre end ti på taget,0,3,abstract misinterpretation,det er mere værd at have én partner man stoler på end mange løse forhold,"de (få) ting man ejer eller har opnået, har større værdi end de (mange) ting som man tror man kan få",DISCREPANCY,2,"A,D",1,0,0,1
have alle trumfer på hånden,2,3,concrete misinterpretation,have de bedst mulige kort på hånden i et kortspil,have meget gode chancer; være i en meget fordelagtig situation,DISCREPANCY,2,"C,D",0,0,1,1
med lodder og trisser,2,3,abstract misinterpretation,med garanti eller forsikring; med alle tænkelige forholdsregler,"med (lidt held og) hvad man kan finde på af hjælpemidler; på bedst mulige, men ikke altid helt vellykkede måde; med kniberi",DISCREPANCY,2,"C,D",0,0,1,1
kigge nogen i kortene,0,2,random definition,meddele noget åbent og uden omsvøb; få sandheden på bordet,aflure nogen deres hensigter eller fremgangsmåde,DISCREPANCY,2,"A,C",1,0,1,0
i den kolde sne,0,2,abstract misinterpretation,på et tidspunkt forholdsvis tidligt om morgenen,i en tilstand af udelukkelse og forladthed,DISCREPANCY,0,,0,0,0,0
man kan ikke lære en gammel hund nye kunster,0,2,concrete misinterpretation,det er ikke muligt at oplære en hund i ny adfærd efter den har nået en vis alder,en (ældre) person med indgroede vaner har svært ved at omstille sig og lære nyt,DISCREPANCY,3,"A,C,D",1,0,1,1
et ord er et ord,0,1,concrete misinterpretation,et ord er altid et ord,"det man med ord har lovet, er man forpligtet til at holde",DISCREPANCY,2,"A,B",1,1,0,0
lægge sin klamme hånd på noget,1,3,abstract misinterpretation,snavse noget til der ellers var rent,"bemægtige sig noget, fx penge; få magten over noget",DISCREPANCY,2,"B,D",0,1,0,1
en streg i luften,0,1,concrete misinterpretation,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY,0,,0,0,0,0
få en på frakken,0,2,random definition,narre; snyde,få tæv,DISCREPANCY,0,,0,0,0,0
hvem har tisset på din sukkermad,0,2,concrete misinterpretation,hvem har generet dig ved at urinere på din sukkermad,hvorfor er du sur; er der nogen der har fornærmet dig,DISCREPANCY,2,"A,C",1,0,1,0
gå ud som et lys,0,2,concrete misinterpretation,blive slukket eller afbrudt brat,pludselig miste bevidstheden,DISCREPANCY,2,"A,C",1,0,1,0
ligge lige til højrebenet,1,3,concrete misinterpretation,ligge godt til at sparke med højre ben -- om bold,være en indlysende og nærliggende mulighed,DISCREPANCY,2,"B,D",0,1,0,1
tage pungen frem,0,2,concrete misinterpretation,fremdrage sin pengepung for at betale for bestemte varer eller en bestemt ydelse,(modvilligt) betale et stort beløb,DISCREPANCY,2,"A,C",1,0,1,0
"villa, Volvo og vovhund",0,1,concrete misinterpretation,eje villa og en bil af mærket Volvo og holde hund som kæledyr,"bruges som symbol på det etablerede og trygge, lidt kedelige liv med fast arbejde og statussymboler",DISCREPANCY,3,"A,B,C",1,1,1,0
kæden er hoppet af,1,3,abstract misinterpretation,"noget er gået i stykker, men kan repareres igen","et forløb, et foretagende eller lignende er gået i stå eller har udviklet sig uheldigt",DISCREPANCY,3,"B,C,D",0,1,1,1
døden skal have en årsag,0,2,random definition,glæde sig over en økonomisk succes,bruges for at udtrykke en almenmenneskelig tendens til at fremhæve én simpel og afgrænset årsagssammenhæng som forklaring på noget,DISCREPANCY,0,,0,0,0,0
bide sig fast,0,1,abstract misinterpretation,kæmpe ihærdigt med noget der er svært,blive en fast bestanddel af noget; fastholde en erobret position,DISCREPANCY,3,"A,B,D",1,1,0,1
stå malet i ansigtet på nogen,2,3,concrete misinterpretation,være skrevet i panden eller kinderne på nogen,fremgå klart af nogens ansigtsudtryk,DISCREPANCY,2,"C,D",0,0,1,1
vride bananen,1,2,abstract misinterpretation,stimulere en penis med hånden,tisse,DISCREPANCY,2,"B,C",0,1,1,0
åbne sit hjerte,0,1,abstract misinterpretation,udtrykke stærke og kærlige følelser; erklære sin kærlighed til en person,betro sig,DISCREPANCY,2,"A,B",1,1,0,0
klæder skaber folk,0,2,concrete misinterpretation,tøj er med til at forme en persons identitet,man vurderer folk (bl.a.) ud fra deres påklædning,DISCREPANCY,2,"A,C",1,0,1,0
køre kanonerne i stilling,0,3,concrete misinterpretation,placere kanoner i en position hvor er klar til at blive affyret,gøre klar til en aktion eller vanskelig forhandling for at fremme egne interesser eller angribe andres,DISCREPANCY,2,"A,D",1,0,0,1
der må være en blonde,1,2,concrete misinterpretation,her mangler en blonde,der er grænser for hvad man kan tillade sig,DISCREPANCY,2,"B,C",0,1,1,0
gå op og ned som kong Volmers røv,1,2,abstract misinterpretation,der er både gode og dårlige dage,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført",DISCREPANCY,2,"B,C",0,1,1,0
være tredje hjul på vognen,2,3,concrete misinterpretation,"være et ekstra, tredje hjul på en vogn der kun har behov for to hjul for at køre","være overflødig eller generende, fx i forbindelse med et kærlighedsforhold",DISCREPANCY,2,"C,D",0,0,1,1
være på tynd is,0,2,concrete misinterpretation,stå på et tyndt isdække der er i fare for at revne,være i en situation hvor éns argumenter er utilstrækkelige eller uholdbare; være i en situation som man har svært ved at magte,DISCREPANCY,2,"A,C",1,0,1,0
få noget på halsen,0,3,concrete misinterpretation,få noget på sin hals,blive udsat for eller udsætte nogen for problemer eller besværligheder,DISCREPANCY,2,"A,D",1,0,0,1
så du røgen,0,1,abstract misinterpretation,bruges som kommentar til nogen der netop har tabt en konkurrence,"bruges som kommentar hvis noget ikke er blevet til noget, eller nogen ikke har fået opfyldt sine forventninger",DISCREPANCY,1,A,1,0,0,0
"hvor der er hjerterum, er der husrum",2,3,concrete misinterpretation,hvis der er gæstfrit er der også rart at bo,"gæstfrihed hører til almindelig venlighed; gode mennesker trives, selv hvor pladsen er trang",DISCREPANCY,2,"C,D",0,0,1,1
det er lettere for en kamel at komme igennem et nåleøje end for en rig at komme ind i Guds rige,0,2,concrete misinterpretation,det er lettere at bevæge sig gennem en snæver passage end at komme ind i Paradis med penge eller andre værdigenstande,bruges for at udtrykke hvor svært det er for mennesket at give afkald på materielle goder til fordel for åndelige værdier,DISCREPANCY,0,,0,0,0,0
målet helliger midlet,1,3,concrete misinterpretation,målet retfærdiggør metoden,et godt formål berettiger brugen af mindre fine midler,DISCREPANCY,2,"B,D",0,1,0,1
være helt ude i tovene,0,3,abstract misinterpretation,være fysisk udmattet (pga. hårdt arbejde); være udtømt for kræfter,være i en meget vanskelig situation som påvirker én psykisk,DISCREPANCY,2,"A,D",1,0,0,1
der gror ikke mos på en rullesten,0,1,concrete misinterpretation,"hvis en sten er i bevægelse, vil der ikke vokse mos på den","personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)",DISCREPANCY,2,"A,B",1,1,0,0
spille kong Gulerod,0,3,abstract misinterpretation,lave ballade; lave et stort postyr,"opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY,2,"A,D",1,0,0,1
"skønne, spildte kræfter",0,2,abstract misinterpretation,oversete eller spildte chancer og muligheder,"kræfter der energisk og måske selvopofrende er sat ind på en opgave, men senere viser sig at være anvendt forgæves",DISCREPANCY,3,"A,C,D",1,0,1,1
ligge med næsen i vejret,0,3,concrete misinterpretation,ligge på ryggen,være død og begravet,DISCREPANCY,2,"A,D",1,0,0,1
