talemaade_udtryk,predicted_label,true_label,error_category,predicted_definition,true_definition,Discrepancy,yes_count,yes_options,A_response,B_response,C_response,D_response
lægge låg på noget,0,1,random definition,lægge mærke til og huske på,"afslutte, skjule eller lægge en dæmper på noget",DISCREPANCY,3,"A,B,C",1,1,1,0
tale med store bogstaver,1,3,random definition,"febrilskhed der skyldes at en tidsfrist er tæt ved at være overskredet, eller at noget snart er uigenkaldeligt forbi",udtale sin kritiske mening højt og bestemt; skælde ud,DISCREPANCY,2,"B,D",0,1,0,1
lang næse,0,1,abstract misinterpretation,nedladende eller på anden måde negativ kritik,skuffelse; følelse af at være snydt,DISCREPANCY,2,"A,B",1,1,0,0
puste til ilden,0,2,concrete misinterpretation,"puste til gløderne i et bål, en pejs eller lignende for at få dem til at flamme op","gøre en konflikt eller spændt situation værre, fx ved at komme med provokerende bemærkninger",DISCREPANCY,3,"A,B,C",1,1,1,0
ikke have salt til et æg,0,1,abstract misinterpretation,ikke kunne lave velsmagende mad; være en dårlig kok,være fattig,DISCREPANCY,2,"A,B",1,1,0,0
skinnet bedrager,0,1,abstract misinterpretation,blot fordi solen er fremme betyder det ikke at det er varmt,"det ydre giver ikke nødvendigvis udtryk for de indre, sande kvaliteter hos noget eller nogen, eller for hvordan noget i virkeligheden forholder sig",DISCREPANCY,4,"A,B,C,D",1,1,1,1
lokummet brænder,0,2,abstract misinterpretation,der er ikke styr på basale fornødenheder,der er (udsigt til) problemer,DISCREPANCY,2,"A,C",1,0,1,0
det er der ingen ben i,0,3,random definition,koste mange penge; være dyr,det er nemt at udføre eller forstå,DISCREPANCY,3,"A,B,D",1,1,0,1
ikke have mange brikker at flytte rundt med,0,2,abstract misinterpretation,have en stram økonomi,ikke være særlig begavet,DISCREPANCY,2,"A,C",1,0,1,0
det kommer ikke det smør ved,2,3,random definition,"ændre fremgangsmåde, taktik eller adfærd (fordi den tidligere anvendte er uønsket, har vist sig uheldig eller lignende)",det vedrører ikke den sag; det er ikke relevant i den sammenhæng,DISCREPANCY,2,"C,D",0,0,1,1
vride halsen om på nogen,0,3,concrete misinterpretation,dræbe ved kvælning,få nogen til at makke ret ved at presse eller true,DISCREPANCY,3,"A,B,D",1,1,0,1
være på egen boldgade,1,2,abstract misinterpretation,beherske sine følelser,være på egen hånd; være uden tilsyn,DISCREPANCY,2,"B,C",0,1,1,0
"lev stærkt, dø ung",0,1,concrete misinterpretation,"være stærk mens man er i live, men dø i en ung alder","bruges for at udtrykke den opfattelse at det er bedre at tage chancer, leve livet fuldt ud og give efter for sine lyster end søge tryghed og faste rammer, også selvom man derved sætter livet på spil og risikerer at dø i en ung alder",DISCREPANCY,3,"A,B,D",1,1,0,1
stryge med hårene,0,3,random definition,være modvillig eller genstridig; (prøve at) forhindre noget,prøve at behage; optræde føjeligt og eftergivende,DISCREPANCY,4,"A,B,C,D",1,1,1,1
