talemaade_udtryk,predicted_label,true_label,predicted_definition,true_definition,Discrepancy
ikke have mange brikker at flytte rundt med,0,2,have en stram økonomi,ikke være særlig begavet,DISCREPANCY
vride halsen om på nogen,1,3,tvinge en beslutning igennem på trods af andres indsigelser,få nogen til at makke ret ved at presse eller true,DISCREPANCY
svæve over vandene,0,1,diskret eller ubemærket overvære noget,præge noget; være mærkbar,DISCREPANCY
give en gang lak,0,2,hurtigt og uden tid til forberedelse,give en omgang klø eller skældud,DISCREPANCY
under én hat,1,3,bruges som udtryk for at flere personer har samme holdning eller overbevisning,"på samme sted, under samme organisation eller under samme institution",DISCREPANCY
uden mad og drikke duer helten ikke,3,0,man kan ikke udføre heltegerninger på tom mave,man må sørge for at få noget at spise og drikke hvis man vil klare sig,DISCREPANCY
ikke være mange sure sild værd,3,1,bruges for at udtrykke at indsatsen ikke er udbyttet værd,være udmattet eller nedtrykt,DISCREPANCY
mester for noget,0,3,"person der (uden at ville det) er skyld i en negativ udvikling, hændelse eller lignende","person der har skabt, designet eller udtænkt et kunstnerisk værk eller noget andet der gør indtryk",DISCREPANCY
lakrids mellem tæerne,0,3,ikke falde i en persons smag,snavs mellem tæerne; snavsede fødder,DISCREPANCY
tegn og underlige gerninger,3,1,mystiske tegn og handlinger som man ikke forstår,uforståelige eller forunderlige handlinger eller fænomener,DISCREPANCY
puste til gløderne,0,2,puste til en ild der er ved at dø ud,få en strid til at udvikle sig (igen),DISCREPANCY
det ene ord tager det andet,2,1,ord efterfølger ord i en talestrøm,bruges om en situation hvor påstande om nogen eller noget tiltager i grovhed,DISCREPANCY
køre med klatten,0,1,køre på en hensynsløs og uansvarlig måde,være suveræn til noget; brillere,DISCREPANCY
i den kolde sne,3,2,i en (større) bunke sne,i en tilstand af udelukkelse og forladthed,DISCREPANCY
tampen brænder,2,0,der er ild i tovet,man er tæt ved at nå til en erkendelse,DISCREPANCY
en streg i luften,0,1,en kondensstribe på himlen skabt af en flyvemaskine,en meget tynd person,DISCREPANCY
"når solen går ned i en sæk, står den op i en bæk",3,1,i det tilfælde hvor solen går ned i en sæk vil den næste dag stå op i en bæk,"når solen går ned bag store, mørke skyer, kan man vente regnvejr den følgende dag",DISCREPANCY
vride bananen,1,2,stimulere en penis med hånden,tisse,DISCREPANCY
gå rundt med noget i maven,3,0,have dårlig samvittighed fordi man ikke har påtaget sig en vigtig opgave,have (skjulte) ambitioner eller drømme om at blive noget bestemt,DISCREPANCY
der må være en blonde,1,2,her mangler en blonde,der er grænser for hvad man kan tillade sig,DISCREPANCY
gå op og ned som kong Volmers røv,1,2,der er både gode og dårlige dage,"bruges om noget der er ujævnt, eller om et stykke arbejde der er dårligt udført",DISCREPANCY
der gror ikke mos på en rullesten,0,1,"hvis en sten er i bevægelse, vil der ikke vokse mos på den","personer der lever et aktivt og energisk liv, sygner ikke hen (mentalt)",DISCREPANCY
have store tanker om,0,1,tænke meget på,"værdsætte, beundre eller have store forventninger til",DISCREPANCY
lyse i kuld og køn,2,0,vække opsigt pga. sine smykker eller fine påklædning,anerkende officielt,DISCREPANCY
spille kong Gulerod,0,3,lave ballade; lave et stort postyr,"opføre sig på en indbildsk, overlegen eller arrogant måde",DISCREPANCY
ål i strømperne,2,0,vittigheder; underholdende påfund,folder i strømper der er gledet ned ad benet,DISCREPANCY
